id,accession date,credit line,display dimensions,coordinates,public display,district,location,description,source,medium,descriptive medium,artist,title
245,1979,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"72""H X 48"" W","37.615223,-122.389979",Airport,outside city,Terminal 3,Boarding Area E,San Francisco Arts Commission,"acrylic, board",acrylic on board,"Loarca, Carlos",Angulos en Todas Direciones
246,1979,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"40"" H X 30"" W","37.615223,-122.389979",Airport,outside city,Terminal 3,Boarding Area E,San Francisco Arts Commission,"acrylic, canvas",acrylic on canvas,"Villamor, Manuel",Untitled
247,1980,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"276"" X 348""","37.615223,-122.389979",Airport,outside city,Terminal 3,Gates 82-83,San Francisco Arts Commission,"acrylic, canvas",acrylic on canvas,"Francis, Sam",Untitled
248,1980,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"71"" H X 79"" W","37.615223,-122.389979",Airport,outside city,Terminal 3,Mezzanine,San Francisco Arts Commission,oil,oil,"Lane, Christopher",Night Passage
249,1980,Purchased by the San Francisco Art Commission for the San Francisco International Airport,96,"37.771673,-122.467485",Museum,District 1,deYoung Museum,,San Francisco Arts Commission,"mixed media, masonite, oil, plaster, tape, hardboard","mixed media on masonite; oil, plaster, tape, hardboard.","Defeo, Jay",Loop Series 4: Masquerade in Black
250,1980,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"61"" H X 21 1/2"" W X 15 1/4"" D","37.615223,-122.389979",Airport,outside city,Terminal 1,"Boarding Area C, Gate 45",San Francisco Arts Commission,"bronze, patina",cast bronze with black patina,"Noguchi, Isamu",Figure
251,1980,Gift of Earl and Helli Rouda to the San Francisco Art Commission.,"6 1/2"" H X 4' W X 13 1/2"" D","37.790378,-122.4222548",Public Display,District 6,Civic Center,Grove and Van Ness,San Francisco Arts Commission,bronze,bronze,"Moore, Henry",Large Four Piece Reclining Figure
252,1981,Purchased by the San Francisco Art Commission for the Moscone Center,"8 1/2"" H X 18"" W X 6""D","37.801262,-122.433021",Public Display,District 6,Moscone Center,,San Francisco Arts Commission,"marble, ink",marble and ink,"Neri, Manuel",Untitled Proposal
253,1981,Purchased by the San Francisco Art Commission for the Moscone Center,,"37.801262,-122.433021",Public Display,District 6,Moscone Center,,San Francisco Arts Commission,acrylic,acrylic,"Wonner, Paul",Souvenir of San Francisco
254,1981,Purchased by the San Francisco Art Commission for the Moscone Convention Center,"60"" H X 120"" W","37.801262,-122.433021",Public Display,District 6,Moscone Center,South,San Francisco Arts Commission,"acrylic, charcoal, cardboard, linen, board","acrylic, charcoal, cardboard on linen mounted on board","Rivera, Gustavo",Untitled
255,1981,Purchased by the San Francisco Art Commission for the Moscone Convention Center,"7 1/2' H X 18' W X 13"" D","37.801262,-122.433021",Public Display,District 6,Moscone Center,Mezzanine Level,San Francisco Arts Commission,"epoxy paint, aluminum, fiberglass",epoxy paint on aluminum and fiberglass,"Holland, Tom",Morengo
256,1981,Purchased by the San Francisco Art Commission for the Moscone Convention Center,9 1/2' H X 20 'W X 5' D,"37.801262,-122.433021",Public Display,District 6,Moscone Center,Mezzanine Level,San Francisco Arts Commission,"enamel, epoxy resin, fiberglass, steel, aluminum","enamel, epoxy resin, fiberglass, welded steel, aluminum sheeting","Gilliam, Sam",Tholos Across
257,1982,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"90"" H X 220"" W","37.615223,-122.389979",Airport,outside city,Terminal 3,"Level 2, Connector to Terminal 2",San Francisco Arts Commission,"acrylic, canvas",acrylic on canvas,"Hudson, Robert",A Horse of Another Color
258,1982,Gift from the Korean Government,"77"" H X 94"" W X 65"" D","37.795664,-122.3916833",Public Display,District 3,Ferry Park,Embarcadero,San Francisco Arts Commission,bronze,bronze,"Choi, Man Lin",Movement: The First 100 Years
259,1982,Commissioned by the San Francisco Art Commission for the North Shore Pump Station,8' X 22',"37.7975529,-122.4054085",Public Display,District 3,North Shore Pump Station,Embarcadero & Kearny St,San Francisco Arts Commission,stained glass,stained glass,"Quagliata, Narcissus",Untitled
260,1983,Gift of Mike Iwasaki to commemorate peace and amity between the U.S. and Japan.,,"37.787739,-122.5056701",Public Display,District 1,Land's End,,San Francisco Arts Commission,granite,black granite,"Shunkai, Bundo",Peace Monument
261,1984,Purchased by the San Francisco Art Commission for the San Francisco International Airport,384 in. x 120 in. x 144 in.,"37.615223,-122.389979",Storage,outside city,Storage,,San Francisco Arts Commission,paint,paint,"Tamayo, Rufino","Conquest of Space, 1983"
262,1984,,,"37.788815, -122.444791",Library,District 1,Presidio Library,reading room,San Francisco Arts Commission,acrylic,acrylic,"Lands, Christine Marie",Before the Revolution
263,1984,,,"37.7640543,-122.4319047",Library,District 8,Eureka Valley Library,,San Francisco Arts Commission,granite,granite (?),"Bufano, Beniamino",Torso
264,1984,Purchased by the San Francisco Arts Commission for the San Francisco General Hospital.,"96 X 240""","37.7557795,-122.4044431",City Department,District 10,San Francisco General Hospital,4th Floor Terace,San Francisco Arts Commission,mosaic tile,mosaic-tile,"Rios, Michael",Untitled
265,1984,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"16' H X 6' 2"" W Framed","37.7802635,-122.4163842",Museum,District 6,Asian Art Museum,,San Francisco Arts Commission,"ink, watercolor, paper, silk mounting",ink and watercolor on paper on silk mounting,"Qizhan, Zhu",Grapevine
266,1984,Purchased by the San Francisco Art Commission for the San Francisco International Airport,12' H X 15' W,"37.615223,-122.389979",Airport,outside city,Terminal 3,Gate 81,San Francisco Arts Commission,"abaca paper, acrylic medium, bamboo, waxed cotton, wire","abaca paper, acrylic medium, bamboo, waxed cotton and wire","O'banion, Nance",Billboard Series: Exploded Transverse with no Nuggies
267,1984,"Gift of Nagoya, Japan to the San Francisco Art Commission",,"37.615223,-122.389979",Airport,outside city,Principal Property Manager's Office,,San Francisco Arts Commission,oil,oil,"Uehara, Kinji",The Red Horizon
268,1984,Purchased by the San Francisco Art Commission for the Hall of Justice.,"30"" H; 7' in diameter each","37.775252,-122.403768",Public Display,District 6,Hall of Justice,"850 Bryant, main entrance",San Francisco Arts Commission,aggregate,cast aggregate,"Sells, Raymond",Untitled (Planter)
269,1984,Purchased by the San Francisco Art Commission for the Hall of Justice.,,"37.775252,-122.403768",Public Display,District 6,Hall of Justice,"850 Bryant, main entrance",San Francisco Arts Commission,aggregate,cast aggregate,"Sells, Raymond",Untitled (Planter)
270,1984,Gift of the President of Venezuela to the City of San Francisco.,25' H,"37.779861, 122.413498",Public Display,District 6,UN Plaza,West End,San Francisco Arts Commission,bronze,bronze,"Villegas, Victor Hugo Barranechea",Simon Bolivar
271,1984,Purchased by the San Francisco Arts Commission for the San Francisco International Airport; Collection of the City and County of San Francisco,10' H X 51' W overall (3 panels),"37.615223,-122.389979",Airport,outside city,International Terminal,South Pedestrian Bridge,San Francisco Arts Commission,"ceramic tile, glass",ceramic tile and glass.,"Kozloff, Joyce","Bay Area Victorian, Bay Area Deco, Bay Area Funk"
272,1984,Commissioned by the Mayor's Committee for a Memorial to the Six Million Victims of the Holocaust,66 in. x 144 in. x 144 in.,"37.787739,-122.5056701",Public Display,District 1,Lincoln Park,Land's End,San Francisco Arts Commission,"bronze, wire",cast and painted bronze and wire,"Segal, George",The Holocaust
273,1984,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,12' H X 4 1/4' W X 3 1/2' D,"37.615223,-122.389979",Airport,outside city,Terminal 2,"Ticketing Lobby, Connector to Terminal 1",San Francisco Arts Commission,stone,nose stone,"Kunishima, Seiji",Stacking Stones
274,1984,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"8' H X 30"" W approx.","37.615223,-122.389979",Airport,outside city,Terminal 2,"Arrivals, Rear Wall",San Francisco Arts Commission,"polyurethane paint, aluminum",polyurethane paint on aluminum,"Snyder, Dan","Welcome North, Welcome South, Welcome East, Welcome West"
275,1985,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"192"" H X 18""diameter","37.615223,-122.389979",Airport,outside city,Terminal 2,Stairway from Arrivals to Departures,San Francisco Arts Commission,bronze,cast bronze,"Pomodoro, Arnaldo",Cilindro Costruito
276,1985,,,"37.783933,-122.412595",Public Display,District 6,Father Boeddeker Park,Eddy and Jones,San Francisco Arts Commission,"glass fiber, concrete",glass fiber reinforced concrete,"Asawa, Ruth","Redding School, Self-Portrait"
277,1985,Commissioned by the Art Commission Funded in part by Tamarach Foundation,,"37.7947175,-122.4048688",Public Display,District 3,Portsmouth Square,,San Francisco Arts Commission,concrete,cast concrete,"Fuller (Mcchesney), Mary","Tiger, Ram, Serpent, Monkey, Rabbit, Dragon"
278,1985,Gift of the Tamarack Foundation and the Mayor's Office of Community Development to SF Art Commission,,"37.7947175,-122.4048688",Public Display,District 3,Portsmouth Square,,San Francisco Arts Commission,concrete,cast concrete,"Fuller (Mcchesney), Mary",Ram
279,1985,Gift of the Tamarack Foundation and the Mayor's Office of Community Development to SF Art Commission,,"37.7947175,-122.4048688",Public Display,District 1,Portsmouth Square,,San Francisco Arts Commission,concrete,cast concrete,"Fuller (Mcchesney), Mary",Serpent
280,1985,Gift of the Tamarack Foundation and the Mayor's Office of Community Development to SF Art Commission,,"37.7947175,-122.4048688",Public Display,District 3,Portsmouth Square,,San Francisco Arts Commission,concrete,cast concrete,"Fuller (Mcchesney), Mary",Monkey
281,1985,Gift of the Tamarack Foundation and the Mayor's Office of Community Development to SF Art Commission,,"37.7947175,-122.4048688",Public Display,District 3,Portsmouth Square,,San Francisco Arts Commission,concrete,cast concrete,"Fuller (Mcchesney), Mary",Rabbit
282,1985,Gift of the Tamarack Foundation and the Mayor's Office of Community Development to SF Art Commission,,"37.7947175,-122.4048688",Public Display,District 3,Portsmouth Square,,San Francisco Arts Commission,concrete,cast concrete,"Fuller (Mcchesney), Mary",Dragon
283,1985,Purchased by the San Francisco Art Commission for the Millbrae Water Plant,"123"" H X 103"" W X 144""D","37.603364, -122.425721",City Department,District 7,San Andreas Water Facility,Millbrae,San Francisco Arts Commission,"acrylic, paint, steel",acrylic lacquer paint on steel,"Slusky, Joseph",Calypso
284,1985,Purchased by the San Francisco Art Commission for the Millbrae Water Treatment Facility,3' H X 4' W approx.,"37.602339, -122.396325",City Department,outside city,Millbrae Facility,Millbrae,San Francisco Arts Commission,"acrylic, masonite",acrylic on masonite,"Garza, Carmen Lomas",The History of Northern California Water
285,1985,Purchased by the San Francisco Art Commission for the Millbrae Water Treatment Facility,3' H X 4' W approx.,"37.602339, -122.396325",City Department,outside city,Millbrae Facility,Millbrae,San Francisco Arts Commission,"acrylic, masonite",acrylic on masonite,"Garza, Carmen Lomas",The History of Northern California Water
286,1985,Purchased by the San Francisco Art Commission for the Millbrae Water Treatment Facility,3' H X 4' W approx,"37.602339, -122.396325",City Department,outside city,Millbrae Facility,Millbrae,San Francisco Arts Commission,"acrylic, masonite",acrylic on masonite,"Garza, Carmen Lomas",The History of Northern California Water
287,1985,Purchased by the San Francisco Art Commission for the Millbrae Water Treatment Facility,3' H X 4'W approx.,"37.602339, -122.396325",City Department,outside city,Millbrae Facility,Millbrae,San Francisco Arts Commission,"acrylic, masonite",acrylic on masonite,"Garza, Carmen Lomas",The History of Northern California Water
288,1985,Purchased by the San Francisco Art Commission for the Millbrae Water Treatment Facility,3' H X 4' W approx.,"37.602339, -122.396325",City Department,outside city,Millbrae Facility,Millbrae,San Francisco Arts Commission,"acrylic, masonite",acrylic on masonite,"Garza, Carmen Lomas",The History of Northern California Water
289,1985,Purchased by the San Francisco Art Commission for the Millbrae Water Treatment Facility,3' H X 4' W approx.,"37.602339, -122.396325",City Department,outside city,Millbrae Facility,Millbrae,San Francisco Arts Commission,"acrylic, masonite",acrylic on masonite,"Garza, Carmen Lomas",The History of Northern California Water
290,1985,Purchased by the San Francisco Art Commission for the Millbrae Water Treatment Facility,3' H X 4' W approx.,"37.602339, -122.396325",City Department,outside city,Millbrae Facility,Millbrae,San Francisco Arts Commission,"acrylic, masonite",acrylic on masonite,"Garza, Carmen Lomas",The History of Northern California Water
291,1985,Purchased by the San Francisco Art Commission for the Millbrae Water Treatment Facility,3' H X 4' W approx.,"37.602339, -122.396325",City Department,outside city,Millbrae Facility,Millbrae,San Francisco Arts Commission,"acrylic, masonite",acrylic on masonite,"Garza, Carmen Lomas",The History of Northern California Water
292,1985,Purchased by the San Francisco Art Commission for the Mission Recreation Center,"96"" H X 48"" W","37.758201,-122.412999",Public Display,District 9,Mission Rec. Center,2450 Harrison St.,San Francisco Arts Commission,oil enamels,oil enamels,"Boyce, Roger",Untitled
293,1985,Purchased by the San Francisco Art Commission for Pier 39,25' H X 20 W,"37.809079,-122.411934",Public Display,District 3,Waterfront,between Piers 35 and 39,San Francisco Arts Commission,steel,mirror finished stainless steel type 316 l,"Barr, Roger",Skygate
294,1985,Purchased by the San Francisco Art Commission for the Moscone Parking Garage,11' H X 15' W approx.,"37.784337,-122.3994074",City Department,District 6,Moscone Parking Garage,Facade,San Francisco Arts Commission,"paint, steel",painted steel,"Shuler, Dustin",Spider Pelt
295,1985,Purchased by the San Francisco Art Commission for the Performing Arts Garage,"144"" H","37.7780273,-122.421525",Public Display,District 6,Performing Arts Garage facade,Grove and Franklin,San Francisco Arts Commission,bronze,bronze,"Brown, Joan",The Dancing Musicians
296,1985,Purchased by the San Francisco Art Commission for the San Francisco International Airport,,"37.7793133,-122.4184094",Public Display,District 6,City Hall,South Light Court,San Francisco Arts Commission,"basswood, plexiglass",basswood with plexiglas windows,"Potts, Don",Hallidie Building
297,1985,Purchased by the San Francisco Art Commission for the San Francisco International Airport,,"37.7793133,-122.4184094",Public Display,District 6,City Hall,South Light Court,San Francisco Arts Commission,maplewood,maplewood,"Potts, Don","San Francisco Victorian, Italianate Style"
298,1985,Purchased by the San Francisco Art Commission for the San Francisco International Airport,,"37.7793133,-122.4184094",Public Display,District 6,City Hall,South Light Court,San Francisco Arts Commission,"mahogany, basswood",mahogany and basswood,"Potts, Don",Pylon of the Golden Gate Bridge
299,1985,Purchased by the San Francisco Art Commission for the San Francisco International Airport,,"37.7793133,-122.4184094",Public Display,District 6,City Hall,South Light Court,San Francisco Arts Commission,"maplewood, basswood",maplewood and basswood,"Potts, Don",City Hall Dome
300,1985,Gift of Brooks Camera,,"37.778864,-122.415783",Library,District 6,San Francicso Public Library ,History Center,San Francisco Arts Commission,bronze,cast bronze,"Downie, Romana Anzi",Bust of George Moscone
301,1985,Commissioned by the San Francisco Art Commission for the Parking Garage and 16th and Hoff Streets.,9' H X 13' W; 9' X 16'; 9' X 16',"37.764449, -122.420681",Public Display,District 6,Hoff Street Garage,,San Francisco Arts Commission,iron,iron,"Polk, James",Untitled
302,1985,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"84"" H X 96"" W","37.615223,-122.389979",Airport,outside city,Terminal 2,Meeting Area,San Francisco Arts Commission,wool tapestry,flat weave wool tapestry,"Adams, Mark",Pond in Golden Gate Park (The Garden Tapestries)
303,1985,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"84"" H X 204"" W","37.615223,-122.389979",Airport,outside city,Terminal 2,Meeting Area,San Francisco Arts Commission,wool tapestry,flat weave wool tapestry,"Adams, Mark",Garden in San Andreas Valley (The Garden Tapestries)
304,1985,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"84"" H X 144"" W","37.615223,-122.389979",Airport,outside city,Terminal 2,Meeting Area,San Francisco Arts Commission,wool tapestry,flat weave wool tapestry,"Adams, Mark",Garden Outside the Gate (The Garden Tapestries)
305,1985,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"19"" 38"" in diameter","37.615223,-122.389979",Airport,outside city,Terminal 1,,San Francisco Arts Commission,resin,cast resin,"Eversley, Frederick",Untitled
306,1986,Purchased by the San Francisco Art Commission for the San Francisco International Airport,,"37.615223,-122.389979",Airport,outside city,Terminal 2,"Ticketing Lobby, Connector to Terminal 1",San Francisco Arts Commission,oil,oil,"Katano, Marc",Greeting a Totem
307,1986,Purchased by the San Francisco Art Commission for the Westside Pump Station,,"37.7355641,-122.5061246",Public Display,District 4,Great Highway,at Sloat,San Francisco Arts Commission,concrete,cast concrete,"Fuller, Mary","Earth, Air, Sea"
308,1986,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"108"" H X 54"" W","37.615223,-122.389979",Airport,outside city,Terminal 2,"Ticketing Lobby, Connector to Terminal 1",San Francisco Arts Commission,"oil, canvas",oil on canvas,"Katano, Marc",Torso
309,1986,Purchased by the San Francisco Art Commission for the Moscone Parking Garage,"79"" H X 18"" W X 13 1/4"" D","37.784337,-122.3994074",Public Display,District 6,Ped. Plaza,north of Moscone Parking Garage,San Francisco Arts Commission,bronze,bronze,"DeStaebler, Stephen",Man with Flame
310,1986,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"95"" H X 8 1/2"" W X 8 1/2"" D","37.615223,-122.389979",Airport,outside city,Terminal 1,Boarding Area C,San Francisco Arts Commission,"bronze, granite",bronze with granite base,"Zajac, Jack",Falling Water Santa Cruz II
311,1986,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"87"" H X 18 1/4"" W X 14 1/2"" D","37.615223,-122.389979",Airport,outside city,Terminal 2,"Boarding Area C, Gate 44",San Francisco Arts Commission,"concrete, marble, copper, brass, patina","concrete, marble, copper and brass with patina","Martin, Fran",Petanque et St-Savin IV
312,1986,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,,"37.615223,-122.389979",Airport,outside city,Terminal 2,Gate 58A,San Francisco Arts Commission,mixed media,mixed media,"Ramirez, Robert",Urns
313,1986,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"26 1/2"" H X 41"" W","37.615223,-122.389979",Airport,outside city,Terminal 3,Lower Level,San Francisco Arts Commission,"etching, paper",etching on paper,"Acconci, Vito",Two Wings for Wall and Person
314,1986,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"64"" H X 120"" W","37.615223,-122.389979",Airport,outside city,Terminal 2,Gate 58 B,San Francisco Arts Commission,"acrylic, sand, canvas",acrylic and sand on canvas,"Hoefer, Wade",The Peasant's Parade
315,1986,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"52 1/4"" H X 63 3/8"" W Framed","37.615223,-122.389979",Airport,outside city,Terminal 1,Delta Connector,San Francisco Arts Commission,"acrylic, polymer, canvas",acrylic and polymer on canvas,"Lerner, Leslie",The Smile of Reason
316,1986,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"87"" H X 72"" W","37.615223,-122.389979",Airport,outside city,Terminal 3,Gates 81-83,San Francisco Arts Commission,"oil, wax, canvas",oil and wax on canvas,"Dvortcsak, Michael",Sublimens
317,1986,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"76"" H X 79"" W","37.615223,-122.389979",Airport,outside city,Terminal 3,Gate 83-85,San Francisco Arts Commission,"mixed media, canvas",mixed media on canvas,"Saunders, Raymond",Letter's Missing
318,1986,Gift of the International Longshoremen's & Warehousemen's Union Memorial,15 X 20 X 9 ' overall of three panels,"37.7919942,-122.3916551",Public Display,District 6,Stuart Street,,San Francisco Arts Commission,steel,painted welded steel,METAL,International Longshoremen's & Warehousemen's Union Memorial (ILWU)
319,1986,Purchased by the San Francisco Art Commission for the San Francisco International Airport,59 in. x 123 in.,"37.615223,-122.389979",Airport,outside city,Terminal 2,Medical Clinic,San Francisco Arts Commission,"handmade paper, mounted linen",handmade paper on mounted linen,"Genn, Nancy",Evora 16
320,1986,Purchased by the San Francisco Art Commission for the Hall of Justice,,"37.7791811,-122.4158597",Public Display,District 6,Hall of Justice,850 Bryant,San Francisco Arts Commission,"paper construction, watercolor, ink",paper construction/watercolor and ink,"Templeton, Mark",85194
321,1986,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"69 3/4"" H X 22 3/4"" W X 10 1/2"" D","37.615223,-122.389979",Airport,outside city,Terminal 1,"Boarding Area C, Gate 46",San Francisco Arts Commission,marble,marble,"Neri, Manuel",Mujer Pagada No.4
322,1986,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"103"" H X 156"" W","37.615223,-122.389979",Airport,outside city,South Terminal,Boarding Area A,San Francisco Arts Commission,"wool tapestry, cotton twine",wool tapestry with cotton twine,"Kopecek, Vera",Flight Thrills
323,1986,Purchased by the San Francisco Art Commission for the San Francisco International Airport,,"37.615223,-122.389979",Airport,outside city,Terminal 1,Boarding Area B,San Francisco Arts Commission,acrylic ,abrasian-resistant acrylic prisms,"Ross, Charles",Light Lines
324,1986,Purchased by the San Francisco Art Commission for the Mission Recreation Center,"84""H X 60""W","37.758201,-122.412999",Public Display,District 9,Mission Rec. Center,2450 Harrison St.,San Francisco Arts Commission,acrylic,acrylic,"Fernandez, Rudy",Mission Triptych #2
325,1986,Purchased by the San Francisco Art Commission for the Mission Recreation Center,"84"" H X 60"" W","37.758201,-122.412999",Public Display,District 9,Mission Rec. Center,2450 Harrison St.,San Francisco Arts Commission,acrylic,acrylic,"Fernandez, Rudy",Mission Triptych #3
326,1986,"Gift on Convention Plaza, Inc.",,"37.785139, -122.400543",Public Display,District 6,Convention Plaza Office Building,3rd and Howard,San Francisco Arts Commission,bronze,bronze,"Dine, Jim",Venus with Rope
327,1986,Purchased by the San Francisco Art Commission for the Father Alfred Boedekker Park,"55 1/2"" H X 85"" W Base: 43 1/4"" H X 54 1/4"" W","37.7842914,-122.4122163",Public Display,District 6,Father Boeddekker Park,Jones and Eddy,San Francisco Arts Commission,"bronze, concrete",bronze with concrete base,"Hasson, Bruce",Ark (or Ark San Francisco)
328,1986,Purchased by the San Francisco Art Commission for the Father Alfred Boeddecker Park,,"37.7842914,-122.4122163",Public Display,District 6,Father Boeddekker Park,Jones and Eddy,San Francisco Arts Commission,bronze,bronze,"Smith, Anthony",Untitled
329,1987,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"168"" H X 506"" W","37.615223,-122.389979",Airport,outside city,Terminal 1,,San Francisco Arts Commission,"found metal, wood, steel",found metal collage on wood with steel brads,"Berlant, Tony",Dancing on the Brink of the World
330,1987,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"264"" H X 276"" W X 756"" D","37.615223,-122.389979",Airport,outside city,Terminal 1,Boarding Area B,San Francisco Arts Commission,"steel, aluminum, sheeting, screening","stainless steel cable, painted aluminum tubing, sheeting and screening","Kirkland, Larry",Flight Patterns
331,1987,Purchased by the San Francisco Art Commission for the Mission Recreation Center.,108 in. x 108 in.,"37.758201,-122.412999",Public Display,District 9,Mission Rec. Center,2450 Harrison St.,San Francisco Arts Commission,mosaic tile,mosaic tiles,"Hiramoto, Judy",Animal Hopscotch
332,1987,Gift of the artist to the San Francisco Art Commission,,"37.7557795,-122.4044431",City Department,District 10,San Francisco General Hospital,"Building 10, Ward 13",San Francisco Arts Commission,oil,oil,"Ludwig, Helen",Untitled
333,1987,Purchased by the San Francisco Art Commission for the Moscone Center,"99 1/4"" H X 77 1/8"" W","37.801262,-122.433021",Public Display,District 6,Moscone Center,,San Francisco Arts Commission,"oil, canvas",oil on canvas,"Frey, Viola",Exterior/Interior (Studio View)
334,1987,Gift of the Cyril Lerner Foundation,7' H X 4' W X 4' D,"37.7798186,-122.464215",City Department,District 1,San Francicso Police Department,"Richmond Station, 6th Ave. and Anza",San Francisco Arts Commission,steel,painted steel,"Demetrios, Aristedes",Red Gothic
335,1987,Commissioned for Stern Grove Renovations,,"37.739277,-122.448703",Public Display,District 7,Miraloma Field House,Omar and Sequoia Streets,San Francisco Arts Commission,ceramic tile,ceramic tile,"Kogure, Kimiko",Miraloma Fieldhouse Bathrooms
336,1987,Commissioned for Stern Grove Historic Renovation,,"37.736154, -122.478224",Public Display,District 4,Stern Grove,Trocadero Clubhouse,San Francisco Arts Commission,stained glass,stained glass,"Kogure, Kimiko",Stern Grove Trocadero Clubhouse
337,1988,Presented to the City of San Francisco by the Assyrian Foundation for the Arts.,"Sculpture: 126"" H X 48"" W X 30"" D Base: 59"" H X 60"" W X 36"" D","37.779233, -122.417456",Public Display,District 6,Fulton St.,between Polk and Larkin,San Francisco Arts Commission,bronze,bronze,"Parhad, Fred",Ashurbanipal
338,1988,Commissioned by the San Francisco Arts Commission for the SF Recreation and Park Department,"36 1/2"" H X 32"" W","37.7474162,-122.4390499",Public Display,District 7,Douglas Playground Fieldhouse,,San Francisco Arts Commission,"tile, glass, metal, buttons, jewelry, fiberglass, wood","tiles, glass, metal, buttons, jewelry on fiberglass wood","Anderson, Lois",Outdoor Wall Mosaic
339,1988,Purchased by the San Francisco Art Commission for the Northern Police Station.,"36"" H X 96"" W X 2 3/4"" D","37.780152, -122.432472",City Department,District 5,San Francicso Police Department,Northern Station,San Francisco Arts Commission,concrete,cast concrete wall relief,"Washington, Horace",Untitled
340,1988,Purchased by the San Francisco Art Commission for the Father Lafred Boeddecker Recreation Center,11' H X 41' W,"37.784706, -122.415373",Public Display,District 6,Tenderloin Rec. Center,Jones and Eddy,San Francisco Arts Commission,ceramic tile,hand-cut and painted ceramic tile,"Poethig, Johanna",Flying Dragon-Snake-Monkey-Bird
341,1988,Commissioned by the San Francisco Art Commission for the Lombard Street Parking Garage.,,"37.7998069,-122.4360411",City Department,District 2,Lombard and Fillmore Parking Garage,,San Francisco Arts Commission,"glass blocks, neon lights",glass blocks and neon lights,"Champagne, Lee Roy",The Grail
342,1988,Gift of Gandhi Memorial Foundation International,Sculpture: 8' H X 3 1/2' W X 4' D; Base: 3' H X 4' W X 4' D,"37.795664,-122.3916833",Public Display,District 3,Ferry Plaza,,San Francisco Arts Commission,bronze,bronze,"Paunov, Zlatko",Mohandas K. Gandhi
343,1988,Commissioned by the Public Art Program for Sunnydale Pump Station,,"37.750331, -122.383318**",City Department,District 10,Sunnydale Pump Station,DPW/PUC,San Francisco Arts Commission,concrete,concrete and air blown mortar,"Johanson, Patricia",Endangered Garden
344,1988,Purchased by the San Francisco Art Commission for the Northern Police Station.,"48 1/2"" X 48 1/2""","37.780152, -122.432472",City Department,District 5,San Francicso Police Department,Northern Station,San Francisco Arts Commission,mosaic tile,mosaic tile,"Graham, Gary W.",Police Shield
345,1989,Commissioned by the San Francisco Art Commission for the Clean Water Program,"6' 8"" diameter","37.7416749,-122.5069516",Public Display,District 4,Great Highway,at Taraval,San Francisco Arts Commission,"marble, bronze, terrazzo","marble, bronze, terrazzo","Deutsch, Richard",Propeller
346,1989,Commissioned by the San Francisco Art Commission for the Clean Water Program,"84 "" diameter approx","37.749111,-122.5079516",Public Display,District 4,Great Highway,at Pacheco,San Francisco Arts Commission,bronze,cast bronze,"Chomenko, Mary",Ocean Beach Fossil
347,1989,Purchased by the San Francisco Art Commission for the Griffith Pump Station.,139 in. x 90 in. x 24 in.,"37.7250945,-122.3819341",City Department,District 10,Griffith Pump Station,"1601 Griffith St., DPW/PUC",San Francisco Arts Commission,"steel, concrete, bronze, granite","steel, reinforced concrete, bronze and granite","Martin, Fran",Ndebele
348,1989,Commissioned by the San Francisco Art Commission for the Sixth and Folsom Recreation Center,"Total area of base and sculpture is 76' 7"" L X 35 '4"" W","37.778981, -122.406589",Public Display,District 6,6th and Folsom Rec. Center,,San Francisco Arts Commission,"polyurethane foam, cement, acrylic admixture, fiberglass, cloth, tile","polyurethane foam, cement, acrylic admixture, fiberglass cloth, tile","Heavenston, Martha",A World View
349,1989,Commissioned by the San Francisco Arts Commission for the Department of Public Health.,,"37.7782753,-122.4185344",City Department,District 6,Recreation Center for the Handicapped,"101 Grove, DPW",San Francisco Arts Commission,terrazzo,terrazzo paving,"Ludwig, Helen",One Step at a Time
350,1990,Purchased by the San Francisco Art Commission for Pier 7,,"37.7869956,-122.3880306",Public Display,District 3,Embarcadero,Entrance to Pier 7,San Francisco Arts Commission,"granite, bronze",sunset red granite and bronze,"Gillman, Steve",Bay Bench
